Benešov;CZ0201
Beroun;CZ0202
Blansko;CZ0641
Brno-město;CZ0642
Brno-venkov;CZ0643
Bruntál;CZ0801
Břeclav;CZ0644
Cheb;CZ0411
Chomutov;CZ0422
Chrudim;CZ0531
Česká Lípa;CZ0511
České Budějovice;CZ0311
Český Krumlov;CZ0312
Děčín;CZ0421
Domažlice;CZ0321
Frýdek-Místek;CZ0802
Havlíčkův Brod;CZ0631
Hlavní město Praha;CZ0100
Hodonín;CZ0645
Hradec Králové;CZ0521
Jablonec nad Nisou;CZ0512
Jeseník;CZ0711
Jičín;CZ0522
Jihlava;CZ0632
Jindřichův Hradec;CZ0313
Karlovy Vary;CZ0412
Karviná;CZ0803
Kladno;CZ0203
Klatovy;CZ0322
Kolín;CZ0204
Kroměříž;CZ0721
Kutná Hora;CZ0205
Liberec;CZ0513
Litoměřice;CZ0423
Louny;CZ0424
Mělník;CZ0206
Mladá Boleslav;CZ0207
Most;CZ0425
Náchod;CZ0523
Nový Jičín;CZ0804
Nymburk;CZ0208
Olomouc;CZ0712
Opava;CZ0805
Ostrava-město;CZ0806
Pardubice;CZ0532
Pelhřimov;CZ0633
Písek;CZ0314
Plzeň-jih;CZ0324
Plzeň-město;CZ0323
Plzeň-sever;CZ0325
Prachatice;CZ0315
Praha-východ;CZ0209
Praha-západ;CZ020A
Prostějov;CZ0713
Přerov;CZ0714
Příbram;CZ020B
Rakovník;CZ020C
Rokycany;CZ0326
Rychnov nad Kněžnou;CZ0524
Semily;CZ0514
Sokolov;CZ0413
Strakonice;CZ0316
Svitavy;CZ0533
Šumperk;CZ0715
Tábor;CZ0317
Tachov;CZ0327
Teplice;CZ0426
Trutnov;CZ0525
Třebíč;CZ0634
Uherské Hradiště;CZ0722
Ústí nad Labem;CZ0427
Ústí nad Orlicí;CZ0534
Vsetín;CZ0723
Vyškov;CZ0646
Zlín;CZ0724
Znojmo;CZ0647
Žďár nad Sázavou;CZ0635
